identity_key,reading_type,reading_name,source_label,display_ref,canonical_mt_ref,canonical_lxx_ref,source_convention,canonicalization_confidence,canonicalization_note,spans_json
rid_0719aba1fd722ef13383,scripture,,Ps 132:10,Ps 132:10 (LXX Ps 131:10),Ps 132:10,Ps 131:10,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 131:10"", ""canonical_mt_ref"": ""Ps 132:10"", ""chapter_end"": 132, ""chapter_start"": 132, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 132:10"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 10, ""verse_start"": 10}]"
rid_7fd4c78ccee30f2a8fa7,scripture,,Ps 132:10-11,Ps 132:10-11 (LXX Ps 131:10-11),Ps 132:10-11,Ps 131:10-11,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 131:10-11"", ""canonical_mt_ref"": ""Ps 132:10-11"", ""chapter_end"": 132, ""chapter_start"": 132, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 132:10-11"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 11, ""verse_start"": 10}]"
rid_c4c6917a324e2bbf211e,scripture,,"Ps 132:13,132:15","Ps 132:13,132:15 (LXX Ps 131:13; Ps 131:15)","Ps 132:13,132:15",Ps 131:13; Ps 131:15,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 131:13; Ps 131:15"", ""canonical_mt_ref"": ""Ps 132:13,132:15"", ""chapter_end"": 132, ""chapter_start"": 132, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 132:13,132:15"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 13, ""verse_start"": 13}, {""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 131:13; Ps 131:15"", ""canonical_mt_ref"": ""Ps 132:13,132:15"", ""chapter_end"": 132, ""chapter_start"": 132, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 132:13,132:15"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 15, ""verse_start"": 15}]"
rid_19c946e1181717dcd85c,scripture,,Ps 132:13-15,Ps 132:13-15 (LXX Ps 131:13-15),Ps 132:13-15,Ps 131:13-15,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 131:13-15"", ""canonical_mt_ref"": ""Ps 132:13-15"", ""chapter_end"": 132, ""chapter_start"": 132, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 132:13-15"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 15, ""verse_start"": 13}]"
rid_e2d77d40134145b5f4c6,scripture,,Ps 132:17,Ps 132:17 (LXX Ps 131:17),Ps 132:17,Ps 131:17,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 131:17"", ""canonical_mt_ref"": ""Ps 132:17"", ""chapter_end"": 132, ""chapter_start"": 132, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 132:17"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 17, ""verse_start"": 17}]"
rid_48e4d010b6ec36c5473d,scripture,,Ps 132:18,Ps 132:18 (LXX Ps 131:18),Ps 132:18,Ps 131:18,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 131:18"", ""canonical_mt_ref"": ""Ps 132:18"", ""chapter_end"": 132, ""chapter_start"": 132, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 132:18"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 18, ""verse_start"": 18}]"
rid_ad1caf958900cfc20906,scripture,,Ps 132:2,Ps 132:2 (LXX Ps 131:2),Ps 132:2,Ps 131:2,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 131:2"", ""canonical_mt_ref"": ""Ps 132:2"", ""chapter_end"": 132, ""chapter_start"": 132, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 132:2"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 2, ""verse_start"": 2}]"
rid_d546e97d2f8fc593d510,scripture,,Ps 132:4-5,Ps 132:4-5 (LXX Ps 131:4-5),Ps 132:4-5,Ps 131:4-5,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 131:4-5"", ""canonical_mt_ref"": ""Ps 132:4-5"", ""chapter_end"": 132, ""chapter_start"": 132, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 132:4-5"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 5, ""verse_start"": 4}]"
rid_ebdf693905a6caa039cc,scripture,,Ps 132:9,Ps 132:9 (LXX Ps 131:9),Ps 132:9,Ps 131:9,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 131:9"", ""canonical_mt_ref"": ""Ps 132:9"", ""chapter_end"": 132, ""chapter_start"": 132, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 132:9"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 9, ""verse_start"": 9}]"
rid_68a8bb81425f3cb59dbb,scripture,,Ps 132:9-10,Ps 132:9-10 (LXX Ps 131:9-10),Ps 132:9-10,Ps 131:9-10,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 131:9-10"", ""canonical_mt_ref"": ""Ps 132:9-10"", ""chapter_end"": 132, ""chapter_start"": 132, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 132:9-10"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 10, ""verse_start"": 9}]"
