day_title,service_hour,identity_key,display_ref,source_count,sources,source_titles,source_editions,source_locators,bucket,statuses,removed_marker,citation,attestation_note
Monday Eve,Sixth Hour,rid_39958ad229757fe28c41,Jn 21:34-38,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 23; source_ref=Ps 91:2,3; John 21:34-38",single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 23; source_ref=Ps 91:2,3; John 21:34-38 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=23 | source_ref=Ps 91:2,3; John 21:34-38 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Monday Eve,Sixth Hour,rid_4174ab42642c34a54f1e,Hos 4:15-19,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,out/data/pascha_day_hour_index.csv:row 22; source_ref=Hos 4:15-19; Hos 5:1-7,single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 22; source_ref=Hos 4:15-19; Hos 5:1-7 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=22 | source_ref=Hos 4:15-19; Hos 5:1-7 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Monday Eve,Sixth Hour,rid_7d2db81fc4ff3fb89d84,"Ps 29:1,29:2 (LXX Ps 28:1; Ps 28:2)",1,st_mary_ottawa_pascha,St. Mary Ottawa Holy Pascha extracted text,"Lent 1734 A.M., 2018 A.D. eBook extracted text","out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 2165; source_ref=Ps 29:1,29:2",old_edition_only,historical_witness,,"source_key=st_mary_ottawa_pascha | source_title=St. Mary Ottawa Holy Pascha extracted text | source_edition=Lent 1734 A.M., 2018 A.D. eBook extracted text | source_locator=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 2165; source_ref=Ps 29:1,29:2 | source_file=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt | source_row_id=2165 | source_ref=Ps 29:1,29:2 | provenance=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:2165",Historical printed witness retained for comparison. Not current authority where Coptic Reader fixture applies.
Monday Eve,Sixth Hour,rid_890cfff10ed8cb0f7ab6,Joel 1:5-15,1,st_mary_ottawa_pascha,St. Mary Ottawa Holy Pascha extracted text,"Lent 1734 A.M., 2018 A.D. eBook extracted text",out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 2112; source_ref=Joel 1:5-15,old_edition_only,historical_witness,,"source_key=st_mary_ottawa_pascha | source_title=St. Mary Ottawa Holy Pascha extracted text | source_edition=Lent 1734 A.M., 2018 A.D. eBook extracted text | source_locator=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 2112; source_ref=Joel 1:5-15 | source_file=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt | source_row_id=2112 | source_ref=Joel 1:5-15 | provenance=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:2112",Historical printed witness retained for comparison. Not current authority where Coptic Reader fixture applies.
Monday Eve,Sixth Hour,rid_a5512dbf2aba7b654f97,Hos 5:1-7,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,out/data/pascha_day_hour_index.csv:row 22; source_ref=Hos 4:15-19; Hos 5:1-7,single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 22; source_ref=Hos 4:15-19; Hos 5:1-7 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=22 | source_ref=Hos 4:15-19; Hos 5:1-7 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Monday Eve,Sixth Hour,rid_c5eeff74dd07f0aa99f2,Mark 10:32-34,1,st_mary_ottawa_pascha,St. Mary Ottawa Holy Pascha extracted text,"Lent 1734 A.M., 2018 A.D. eBook extracted text",out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 2178; source_ref=Mark 10:32-34,old_edition_only,historical_witness,,"source_key=st_mary_ottawa_pascha | source_title=St. Mary Ottawa Holy Pascha extracted text | source_edition=Lent 1734 A.M., 2018 A.D. eBook extracted text | source_locator=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 2178; source_ref=Mark 10:32-34 | source_file=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt | source_row_id=2178 | source_ref=Mark 10:32-34 | provenance=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:2178",Historical printed witness retained for comparison. Not current authority where Coptic Reader fixture applies.
Monday Eve,Third Hour,rid_493778d4a6a4ba640417,"Ps 13:3,13:5 (LXX Ps 12:3; Ps 12:5)",1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 21; source_ref=Ps 13:3,5; Luke 13:31-35",single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 21; source_ref=Ps 13:3,5; Luke 13:31-35 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=21 | source_ref=Ps 13:3,5; Luke 13:31-35 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Monday Eve,Third Hour,rid_6082cb57cda84f2bf806,"Ps 28:9,28:2 (LXX Ps 27:9; Ps 27:2)",1,st_mary_ottawa_pascha,St. Mary Ottawa Holy Pascha extracted text,"Lent 1734 A.M., 2018 A.D. eBook extracted text","out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 2013; source_ref=Ps 28:9,28:2",old_edition_only,historical_witness,,"source_key=st_mary_ottawa_pascha | source_title=St. Mary Ottawa Holy Pascha extracted text | source_edition=Lent 1734 A.M., 2018 A.D. eBook extracted text | source_locator=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 2013; source_ref=Ps 28:9,28:2 | source_file=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt | source_row_id=2013 | source_ref=Ps 28:9,28:2 | provenance=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:2013",Historical printed witness retained for comparison. Not current authority where Coptic Reader fixture applies.
Monday Eve,Third Hour,rid_752f74d0fb9e9f2a1459,Lk 9:18-22,1,st_mary_ottawa_pascha,St. Mary Ottawa Holy Pascha extracted text,"Lent 1734 A.M., 2018 A.D. eBook extracted text",out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 2046; source_ref=Lk 9:18-22,old_edition_only,historical_witness,,"source_key=st_mary_ottawa_pascha | source_title=St. Mary Ottawa Holy Pascha extracted text | source_edition=Lent 1734 A.M., 2018 A.D. eBook extracted text | source_locator=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 2046; source_ref=Lk 9:18-22 | source_file=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt | source_row_id=2046 | source_ref=Lk 9:18-22 | provenance=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:2046",Historical printed witness retained for comparison. Not current authority where Coptic Reader fixture applies.
Monday Eve,Third Hour,rid_b9224e7edb547a30e943,Lk 13:31-35,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 21; source_ref=Ps 13:3,5; Luke 13:31-35",single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 21; source_ref=Ps 13:3,5; Luke 13:31-35 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=21 | source_ref=Ps 13:3,5; Luke 13:31-35 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
