book,book_abbrev,chapter,verse_start,verse_end,raw_segment,normalized_segment,canonical_segment,source,source_table,source_type,cycle,day_key,month_number,month_name,day,week,day_of_week,day_name,season,other,reading_slot,raw_ref,normalized_ref
Acts,Acts,19,1,6,44.19:1-6,Acts 19:1-6,Acts 19:1-6,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 15,6,Amshir,15,,,,,10/16,liturgy_acts,44.18:24-28*@+44.19:1-6,Acts 18:24-28; Acts 19:1-6
Psalms,Ps,92,12,13,19.92:12-13,Ps 92:12-13,Ps 92:12-13,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 15,6,Amshir,15,,,,,10/16,liturgy_psalm,19.92:12-13,Ps 92:12-13
Luke,Lk,12,32,44,42.12:32-44,Lk 12:32-44,Lk 12:32-44,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 15,6,Amshir,15,,,,,10/16,liturgy_gospel,42.12:32-44,Lk 12:32-44
Psalms,Ps,9,11,11,"19.9:11,14",Ps 9:11,Ps 9:11,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 16,6,Amshir,16,,,,,1/26,vespers_psalm,"19.9:11,14","Ps 9:11,14"
Psalms,Ps,9,14,14,"19.9:11,14",Ps 9:14,Ps 9:14,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 16,6,Amshir,16,,,,,1/26,vespers_psalm,"19.9:11,14","Ps 9:11,14"
Mark,Mark,14,3,9,41.14:3-9,Mark 14:3-9,Mark 14:3-9,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 16,6,Amshir,16,,,,,1/26,vespers_gospel,41.14:3-9,Mark 14:3-9
Psalms,Ps,102,19,21,19.102:19-21,Ps 102:19-21,Ps 102:19-21,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 16,6,Amshir,16,,,,,1/26,matins_psalm,19.102:19-21,Ps 102:19-21
Mark,Mark,12,41,44,41.12:41-44,Mark 12:41-44,Mark 12:41-44,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 16,6,Amshir,16,,,,,1/26,matins_gospel,41.12:41-44,Mark 12:41-44
Romans,Rom,1,1,17,45.1:1-17,Rom 1:1-17,Rom 1:1-17,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 16,6,Amshir,16,,,,,1/26,liturgy_pauline,45.1:1-17,Rom 1:1-17
James,James,1,1,18,59.1:1-18,James 1:1-18,James 1:1-18,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 16,6,Amshir,16,,,,,1/26,liturgy_catholic,59.1:1-18,James 1:1-18
Acts,Acts,7,2,7,44.7:2-7,Acts 7:2-7,Acts 7:2-7,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 16,6,Amshir,16,,,,,1/26,liturgy_acts,44.7:2-7,Acts 7:2-7
Psalms,Ps,102,13,13,"19.102:13,16,17",Ps 102:13,Ps 102:13,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 16,6,Amshir,16,,,,,1/26,liturgy_psalm,"19.102:13,16,17","Ps 102:13,16,17"
Psalms,Ps,102,16,16,"19.102:13,16,17",Ps 102:16,Ps 102:16,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 16,6,Amshir,16,,,,,1/26,liturgy_psalm,"19.102:13,16,17","Ps 102:13,16,17"
Psalms,Ps,102,17,17,"19.102:13,16,17",Ps 102:17,Ps 102:17,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 16,6,Amshir,16,,,,,1/26,liturgy_psalm,"19.102:13,16,17","Ps 102:13,16,17"
Luke,Lk,1,1,25,42.1:1-25,Lk 1:1-25,Lk 1:1-25,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 16,6,Amshir,16,,,,,1/26,liturgy_gospel,42.1:1-25,Lk 1:1-25
Psalms,Ps,4,6,8,19.4:6-8,Ps 4:6-8,Ps 4:6-8,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 17,6,Amshir,17,,,,,8/27,vespers_psalm,19.4:6-8,Ps 4:6-8
Matthew,Matt,16,24,28,40.16:24-28,Matt 16:24-28,Matt 16:24-28,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 17,6,Amshir,17,,,,,8/27,vespers_gospel,40.16:24-28,Matt 16:24-28
Psalms,Ps,5,11,12,19.5:11-12,Ps 5:11-12,Ps 5:11-12,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 17,6,Amshir,17,,,,,8/27,matins_psalm,19.5:11-12,Ps 5:11-12
Matthew,Matt,10,34,42,40.10:34-42,Matt 10:34-42,Matt 10:34-42,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 17,6,Amshir,17,,,,,8/27,matins_gospel,40.10:34-42,Matt 10:34-42
Romans,Rom,8,18,30,45.8:18-30,Rom 8:18-30,Rom 8:18-30,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 17,6,Amshir,17,,,,,8/27,liturgy_pauline,45.8:18-30,Rom 8:18-30
1 Peter,1Pet,3,8,15,60.3:8-15,1Pet 3:8-15,1Pet 3:8-15,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 17,6,Amshir,17,,,,,8/27,liturgy_catholic,60.3:8-15,1Pet 3:8-15
Acts,Acts,19,23,41,44.19:23-41,Acts 19:23-41,Acts 19:23-41,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 17,6,Amshir,17,,,,,8/27,liturgy_acts,44.19:23-41,Acts 19:23-41
Psalms,Ps,68,35,35,"19.68:35,3",Ps 68:35,Ps 68:35,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 17,6,Amshir,17,,,,,8/27,liturgy_psalm,"19.68:35,3","Ps 68:35,3"
Psalms,Ps,68,3,3,"19.68:35,3",Ps 68:3,Ps 68:3,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 17,6,Amshir,17,,,,,8/27,liturgy_psalm,"19.68:35,3","Ps 68:35,3"
Luke,Lk,12,4,12,42.12:4-12,Lk 12:4-12,Lk 12:4-12,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 17,6,Amshir,17,,,,,8/27,liturgy_gospel,42.12:4-12,Lk 12:4-12
Psalms,Ps,132,9,9,"19.132:9,10,17,18",Ps 132:9,Ps 132:9,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 18,6,Amshir,18,,,,,3/17,vespers_psalm,"19.132:9,10,17,18","Ps 132:9,10,17,18"
Psalms,Ps,132,10,10,"19.132:9,10,17,18",Ps 132:10,Ps 132:10,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 18,6,Amshir,18,,,,,3/17,vespers_psalm,"19.132:9,10,17,18","Ps 132:9,10,17,18"
Psalms,Ps,132,17,17,"19.132:9,10,17,18",Ps 132:17,Ps 132:17,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 18,6,Amshir,18,,,,,3/17,vespers_psalm,"19.132:9,10,17,18","Ps 132:9,10,17,18"
Psalms,Ps,132,18,18,"19.132:9,10,17,18",Ps 132:18,Ps 132:18,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 18,6,Amshir,18,,,,,3/17,vespers_psalm,"19.132:9,10,17,18","Ps 132:9,10,17,18"
Matthew,Matt,4,23,25,40.4:23-25*,Matt 4:23-25,Matt 4:23-25,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 18,6,Amshir,18,,,,,3/17,vespers_gospel,40.4:23-25*@+40.5:1-16,Matt 4:23-25; Matt 5:1-16
Matthew,Matt,5,1,16,40.5:1-16,Matt 5:1-16,Matt 5:1-16,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 18,6,Amshir,18,,,,,3/17,vespers_gospel,40.4:23-25*@+40.5:1-16,Matt 4:23-25; Matt 5:1-16
Psalms,Ps,110,4,6,19.110:4-6,Ps 110:4-6,Ps 110:4-6,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 18,6,Amshir,18,,,,,3/17,matins_psalm,19.110:4-6,Ps 110:4-6
Luke,Lk,6,17,23,42.6:17-23,Lk 6:17-23,Lk 6:17-23,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 18,6,Amshir,18,,,,,3/17,matins_gospel,42.6:17-23,Lk 6:17-23
2 Timothy,2Tim,3,10,17,55.3:10-17*,2Tim 3:10-17,2Tim 3:10-17,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 18,6,Amshir,18,,,,,3/17,liturgy_pauline,55.3:10-17*@+55.4:1-22,2Tim 3:10-17; 2Tim 4:1-22
2 Timothy,2Tim,4,1,22,55.4:1-22,2Tim 4:1-22,2Tim 4:1-22,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 18,6,Amshir,18,,,,,3/17,liturgy_pauline,55.3:10-17*@+55.4:1-22,2Tim 3:10-17; 2Tim 4:1-22
1 Peter,1Pet,5,1,14,60.5:1-14,1Pet 5:1-14,1Pet 5:1-14,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 18,6,Amshir,18,,,,,3/17,liturgy_catholic,60.5:1-14,1Pet 5:1-14
Acts,Acts,20,17,38,44.20:17-38,Acts 20:17-38,Acts 20:17-38,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 18,6,Amshir,18,,,,,3/17,liturgy_acts,44.20:17-38,Acts 20:17-38
Psalms,Ps,73,23,23,"19.73:23,24,28*",Ps 73:23,Ps 73:23,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 18,6,Amshir,18,,,,,3/17,liturgy_psalm,"19.73:23,24,28*@+19.9:14","Ps 73:23,24,28; Ps 9:14"
Psalms,Ps,73,24,24,"19.73:23,24,28*",Ps 73:24,Ps 73:24,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 18,6,Amshir,18,,,,,3/17,liturgy_psalm,"19.73:23,24,28*@+19.9:14","Ps 73:23,24,28; Ps 9:14"
Psalms,Ps,73,28,28,"19.73:23,24,28*",Ps 73:28,Ps 73:28,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 18,6,Amshir,18,,,,,3/17,liturgy_psalm,"19.73:23,24,28*@+19.9:14","Ps 73:23,24,28; Ps 9:14"
Psalms,Ps,9,14,14,19.9:14,Ps 9:14,Ps 9:14,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 18,6,Amshir,18,,,,,3/17,liturgy_psalm,"19.73:23,24,28*@+19.9:14","Ps 73:23,24,28; Ps 9:14"
John,Jn,10,1,16,43.10:1-16,Jn 10:1-16,Jn 10:1-16,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 18,6,Amshir,18,,,,,3/17,liturgy_gospel,43.10:1-16,Jn 10:1-16
Psalms,Ps,65,4,5,19.65:4-5,Ps 65:4-5,Ps 65:4-5,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 19,6,Amshir,19,,,,,9/20,vespers_psalm,19.65:4-5,Ps 65:4-5
Matthew,Matt,24,42,47,40.24:42-47,Matt 24:42-47,Matt 24:42-47,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 19,6,Amshir,19,,,,,9/20,vespers_gospel,40.24:42-47,Matt 24:42-47
Psalms,Ps,37,17,17,"19.37:17,18,29",Ps 37:17,Ps 37:17,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 19,6,Amshir,19,,,,,9/20,matins_psalm,"19.37:17,18,29","Ps 37:17,18,29"
Psalms,Ps,37,18,18,"19.37:17,18,29",Ps 37:18,Ps 37:18,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 19,6,Amshir,19,,,,,9/20,matins_psalm,"19.37:17,18,29","Ps 37:17,18,29"
Psalms,Ps,37,29,29,"19.37:17,18,29",Ps 37:29,Ps 37:29,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 19,6,Amshir,19,,,,,9/20,matins_psalm,"19.37:17,18,29","Ps 37:17,18,29"
Mark,Mark,13,33,37,41.13:33-37,Mark 13:33-37,Mark 13:33-37,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 19,6,Amshir,19,,,,,9/20,matins_gospel,41.13:33-37,Mark 13:33-37
1 Corinthians,1Cor,3,4,23,46.3:4-23,1Cor 3:4-23,1Cor 3:4-23,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 19,6,Amshir,19,,,,,9/20,liturgy_pauline,46.3:4-23,1Cor 3:4-23
1 Peter,1Pet,5,5,14,60.5:5-14,1Pet 5:5-14,1Pet 5:5-14,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 19,6,Amshir,19,,,,,9/20,liturgy_catholic,60.5:5-14,1Pet 5:5-14
Acts,Acts,18,24,28,44.18:24-28*,Acts 18:24-28,Acts 18:24-28,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 19,6,Amshir,19,,,,,9/20,liturgy_acts,44.18:24-28*@+44.19:1-6,Acts 18:24-28; Acts 19:1-6
Acts,Acts,19,1,6,44.19:1-6,Acts 19:1-6,Acts 19:1-6,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 19,6,Amshir,19,,,,,9/20,liturgy_acts,44.18:24-28*@+44.19:1-6,Acts 18:24-28; Acts 19:1-6
Psalms,Ps,37,30,31,19.37:30-31,Ps 37:30-31,Ps 37:30-31,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 19,6,Amshir,19,,,,,9/20,liturgy_psalm,19.37:30-31,Ps 37:30-31
Luke,Lk,16,1,12,42.16:1-12,Lk 16:1-12,Lk 16:1-12,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 19,6,Amshir,19,,,,,9/20,liturgy_gospel,42.16:1-12,Lk 16:1-12
Psalms,Ps,89,36,36,"19.89:36,29",Ps 89:36,Ps 89:36,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 20,6,Amshir,20,,,,,3/29,vespers_psalm,"19.89:36,29","Ps 89:36,29"
Psalms,Ps,89,29,29,"19.89:36,29",Ps 89:29,Ps 89:29,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 20,6,Amshir,20,,,,,3/29,vespers_psalm,"19.89:36,29","Ps 89:36,29"
Luke,Lk,9,18,27,42.9:18-27,Lk 9:18-27,Lk 9:18-27,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 20,6,Amshir,20,,,,,3/29,vespers_gospel,42.9:18-27,Lk 9:18-27
Psalms,Ps,107,32,32,"19.107:32,41,42",Ps 107:32,Ps 107:32,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 20,6,Amshir,20,,,,,3/29,matins_psalm,"19.107:32,41,42","Ps 107:32,41,42"
Psalms,Ps,107,41,41,"19.107:32,41,42",Ps 107:41,Ps 107:41,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 20,6,Amshir,20,,,,,3/29,matins_psalm,"19.107:32,41,42","Ps 107:32,41,42"
Psalms,Ps,107,42,42,"19.107:32,41,42",Ps 107:42,Ps 107:42,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 20,6,Amshir,20,,,,,3/29,matins_psalm,"19.107:32,41,42","Ps 107:32,41,42"
Mark,Mark,8,22,29,41.8:22-29,Mark 8:22-29,Mark 8:22-29,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 20,6,Amshir,20,,,,,3/29,matins_gospel,41.8:22-29,Mark 8:22-29
Hebrews,Heb,4,14,16,58.4:14-16*,Heb 4:14-16,Heb 4:14-16,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 20,6,Amshir,20,,,,,3/29,liturgy_pauline,58.4:14-16*@+58.5:1-14,Heb 4:14-16; Heb 5:1-14
Hebrews,Heb,5,1,14,58.5:1-14,Heb 5:1-14,Heb 5:1-14,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 20,6,Amshir,20,,,,,3/29,liturgy_pauline,58.4:14-16*@+58.5:1-14,Heb 4:14-16; Heb 5:1-14
1 Peter,1Pet,1,1,9,60.1:1-9,1Pet 1:1-9,1Pet 1:1-9,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 20,6,Amshir,20,,,,,3/29,liturgy_catholic,60.1:1-9,1Pet 1:1-9
Acts,Acts,12,1,24,44.12:1-24,Acts 12:1-24,Acts 12:1-24,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 20,6,Amshir,20,,,,,3/29,liturgy_acts,44.12:1-24,Acts 12:1-24
Psalms,Ps,110,4,4,"19.110:4,5,7",Ps 110:4,Ps 110:4,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 20,6,Amshir,20,,,,,3/29,liturgy_psalm,"19.110:4,5,7","Ps 110:4,5,7"
Psalms,Ps,110,5,5,"19.110:4,5,7",Ps 110:5,Ps 110:5,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 20,6,Amshir,20,,,,,3/29,liturgy_psalm,"19.110:4,5,7","Ps 110:4,5,7"
Psalms,Ps,110,7,7,"19.110:4,5,7",Ps 110:7,Ps 110:7,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 20,6,Amshir,20,,,,,3/29,liturgy_psalm,"19.110:4,5,7","Ps 110:4,5,7"
Matthew,Matt,16,13,19,40.16:13-19,Matt 16:13-19,Matt 16:13-19,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 20,6,Amshir,20,,,,,3/29,liturgy_gospel,40.16:13-19,Matt 16:13-19
Psalms,Ps,68,11,11,"19.68:11,35",Ps 68:11,Ps 68:11,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 21,6,Amshir,21,,,,,11/5,vespers_psalm,"19.68:11,35","Ps 68:11,35"
Psalms,Ps,68,35,35,"19.68:11,35",Ps 68:35,Ps 68:35,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 21,6,Amshir,21,,,,,11/5,vespers_psalm,"19.68:11,35","Ps 68:11,35"
Mark,Mark,3,7,21,41.3:7-21,Mark 3:7-21,Mark 3:7-21,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 21,6,Amshir,21,,,,,11/5,vespers_gospel,41.3:7-21,Mark 3:7-21
Psalms,Ps,145,10,12,19.145:10-12,Ps 145:10-12,Ps 145:10-12,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 21,6,Amshir,21,,,,,11/5,matins_psalm,19.145:10-12,Ps 145:10-12
Luke,Lk,6,12,23,42.6:12-23,Lk 6:12-23,Lk 6:12-23,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 21,6,Amshir,21,,,,,11/5,matins_gospel,42.6:12-23,Lk 6:12-23
Romans,Rom,10,4,18,45.10:4-18,Rom 10:4-18,Rom 10:4-18,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 21,6,Amshir,21,,,,,11/5,liturgy_pauline,45.10:4-18,Rom 10:4-18
2 Peter,2Pet,1,12,21,61.1:12-21,2Pet 1:12-21,2Pet 1:12-21,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 21,6,Amshir,21,,,,,11/5,liturgy_catholic,61.1:12-21,2Pet 1:12-21
Acts,Acts,3,1,16,44.3:1-16,Acts 3:1-16,Acts 3:1-16,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 21,6,Amshir,21,,,,,11/5,liturgy_acts,44.3:1-16,Acts 3:1-16
Psalms,Ps,19,1,1,"19.19:1,4",Ps 19:1,Ps 19:1,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 21,6,Amshir,21,,,,,11/5,liturgy_psalm,"19.19:1,4","Ps 19:1,4"
Psalms,Ps,19,4,4,"19.19:1,4",Ps 19:4,Ps 19:4,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 21,6,Amshir,21,,,,,11/5,liturgy_psalm,"19.19:1,4","Ps 19:1,4"
Matthew,Matt,10,1,15,40.10:1-15,Matt 10:1-15,Matt 10:1-15,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 21,6,Amshir,21,,,,,11/5,liturgy_gospel,40.10:1-15,Matt 10:1-15
Psalms,Ps,89,19,21,19.89:19-21,Ps 89:19-21,Ps 89:19-21,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 22,6,Amshir,22,,,,,3/28,vespers_psalm,19.89:19-21,Ps 89:19-21
Matthew,Matt,10,34,42,40.10:34-42,Matt 10:34-42,Matt 10:34-42,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 22,6,Amshir,22,,,,,3/28,vespers_gospel,40.10:34-42,Matt 10:34-42
Psalms,Ps,132,9,9,"19.132:9,10,17,18",Ps 132:9,Ps 132:9,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 22,6,Amshir,22,,,,,3/28,matins_psalm,"19.132:9,10,17,18","Ps 132:9,10,17,18"
Psalms,Ps,132,10,10,"19.132:9,10,17,18",Ps 132:10,Ps 132:10,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 22,6,Amshir,22,,,,,3/28,matins_psalm,"19.132:9,10,17,18","Ps 132:9,10,17,18"
Psalms,Ps,132,17,17,"19.132:9,10,17,18",Ps 132:17,Ps 132:17,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 22,6,Amshir,22,,,,,3/28,matins_psalm,"19.132:9,10,17,18","Ps 132:9,10,17,18"
Psalms,Ps,132,18,18,"19.132:9,10,17,18",Ps 132:18,Ps 132:18,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 22,6,Amshir,22,,,,,3/28,matins_psalm,"19.132:9,10,17,18","Ps 132:9,10,17,18"
Luke,Lk,6,17,23,42.6:17-23,Lk 6:17-23,Lk 6:17-23,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 22,6,Amshir,22,,,,,3/28,matins_gospel,42.6:17-23,Lk 6:17-23
Hebrews,Heb,7,18,28,58.7:18-28*,Heb 7:18-28,Heb 7:18-28,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 22,6,Amshir,22,,,,,3/28,liturgy_pauline,58.7:18-28*@+58.8:1-13,Heb 7:18-28; Heb 8:1-13
Hebrews,Heb,8,1,13,58.8:1-13,Heb 8:1-13,Heb 8:1-13,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 22,6,Amshir,22,,,,,3/28,liturgy_pauline,58.7:18-28*@+58.8:1-13,Heb 7:18-28; Heb 8:1-13
3 John,3Jn,1,1,14,64.1:1-14,3Jn 1:1-14,3Jn 1:1-14,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 22,6,Amshir,22,,,,,3/28,liturgy_catholic,64.1:1-14,3Jn 1:1-14
Acts,Acts,15,36,41,44.15:36-41*,Acts 15:36-41,Acts 15:36-41,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 22,6,Amshir,22,,,,,3/28,liturgy_acts,44.15:36-41*@+44.16:1-5,Acts 15:36-41; Acts 16:1-5
Acts,Acts,16,1,5,44.16:1-5,Acts 16:1-5,Acts 16:1-5,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 22,6,Amshir,22,,,,,3/28,liturgy_acts,44.15:36-41*@+44.16:1-5,Acts 15:36-41; Acts 16:1-5
Psalms,Ps,99,6,7,19.99:6-7,Ps 99:6-7,Ps 99:6-7,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 22,6,Amshir,22,,,,,3/28,liturgy_psalm,19.99:6-7,Ps 99:6-7
John,Jn,16,20,33,43.16:20-33,Jn 16:20-33,Jn 16:20-33,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 22,6,Amshir,22,,,,,3/28,liturgy_gospel,43.16:20-33,Jn 16:20-33
Psalms,Ps,4,6,8,19.4:6-8,Ps 4:6-8,Ps 4:6-8,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 23,6,Amshir,23,,,,,8/27,vespers_psalm,19.4:6-8,Ps 4:6-8
Matthew,Matt,16,24,28,40.16:24-28,Matt 16:24-28,Matt 16:24-28,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 23,6,Amshir,23,,,,,8/27,vespers_gospel,40.16:24-28,Matt 16:24-28
Psalms,Ps,5,11,12,19.5:11-12,Ps 5:11-12,Ps 5:11-12,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 23,6,Amshir,23,,,,,8/27,matins_psalm,19.5:11-12,Ps 5:11-12
Matthew,Matt,10,34,42,40.10:34-42,Matt 10:34-42,Matt 10:34-42,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 23,6,Amshir,23,,,,,8/27,matins_gospel,40.10:34-42,Matt 10:34-42
Romans,Rom,8,18,30,45.8:18-30,Rom 8:18-30,Rom 8:18-30,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 23,6,Amshir,23,,,,,8/27,liturgy_pauline,45.8:18-30,Rom 8:18-30
1 Peter,1Pet,3,8,15,60.3:8-15,1Pet 3:8-15,1Pet 3:8-15,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 23,6,Amshir,23,,,,,8/27,liturgy_catholic,60.3:8-15,1Pet 3:8-15
Acts,Acts,19,23,41,44.19:23-41,Acts 19:23-41,Acts 19:23-41,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 23,6,Amshir,23,,,,,8/27,liturgy_acts,44.19:23-41,Acts 19:23-41
Psalms,Ps,68,35,35,"19.68:35,3",Ps 68:35,Ps 68:35,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 23,6,Amshir,23,,,,,8/27,liturgy_psalm,"19.68:35,3","Ps 68:35,3"
Psalms,Ps,68,3,3,"19.68:35,3",Ps 68:3,Ps 68:3,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 23,6,Amshir,23,,,,,8/27,liturgy_psalm,"19.68:35,3","Ps 68:35,3"
Luke,Lk,12,4,12,42.12:4-12,Lk 12:4-12,Lk 12:4-12,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 23,6,Amshir,23,,,,,8/27,liturgy_gospel,42.12:4-12,Lk 12:4-12
Psalms,Ps,89,19,21,19.89:19-21,Ps 89:19-21,Ps 89:19-21,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 24,6,Amshir,24,,,,,3/28,vespers_psalm,19.89:19-21,Ps 89:19-21
Matthew,Matt,10,34,42,40.10:34-42,Matt 10:34-42,Matt 10:34-42,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Amshir 24,6,Amshir,24,,,,,3/28,vespers_gospel,40.10:34-42,Matt 10:34-42
