testament,book,chapter,matched_reading_ref,identity_key,occasion_id,occasion_short_label,season,service,hour,slot,status,attesting_edition
New Testament,Acts,4,Acts 4:19-31,rid_c6b5752c299b75e0c514,holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,Holy Fifty Days,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,4,Acts 4:19-31,rid_c6b5752c299b75e0c514,saturday-of-the-first-week-of-the-holy-fifty-days,Saturday of the first week of the holy fifty days,Holy Fifty Days,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,4,Acts 4:19-31,rid_c6b5752c299b75e0c514,thursday-of-the-fourth-week-of-great-lent,Thursday of the fourth week of Great Lent,Great Lent,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,4,Acts 4:23-27,rid_3dfddb0a1fb4c2e2502e,holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,Holy Fifty Days,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,4,Acts 4:23-27,rid_3dfddb0a1fb4c2e2502e,monday-of-the-third-week-of-the-holy-fifty-days,Monday of the third week of the holy fifty days,Holy Fifty Days,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,4,Acts 4:27-31,rid_0682f65d7e389206ce3d,holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,Holy Fifty Days,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,4,Acts 4:27-31,rid_0682f65d7e389206ce3d,tuesday-of-the-third-week-of-the-holy-fifty-days,Tuesday of the third week of the holy fifty days,Holy Fifty Days,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,4,Acts 4:32-35,rid_b5dc3679f927c768312e,holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,Holy Fifty Days,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,4,Acts 4:32-35,rid_b5dc3679f927c768312e,wednesday-of-the-third-week-of-the-holy-fifty-days,Wednesday of the third week of the holy fifty days,Holy Fifty Days,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,4,Acts 4:36-5,rid_c0d054a72aa91e6530fc,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,Great Lent,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,4,Acts 4:36-5:11,rid_473bb1c301c0929020c6,monday-of-the-second-week-of-great-lent,Monday of the second week of Great Lent,Great Lent,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,4,Acts 4:5-7,rid_2e5d25b9159a312d7aef,holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,Holy Fifty Days,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,4,Acts 4:5-7,rid_2e5d25b9159a312d7aef,tuesday-of-the-second-week-of-the-holy-fifty-days,Tuesday of the second week of the holy fifty days,Holy Fifty Days,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,4,Acts 4:8-12,rid_466b9555280063e619fd,holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,Holy Fifty Days,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,4,Acts 4:8-12,rid_466b9555280063e619fd,wednesday-of-the-second-week-of-the-holy-fifty-days,Wednesday of the second week of the holy fifty days,Holy Fifty Days,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,4,Acts 4:8-18,rid_3ff495927e071a080ce1,tut-18-01,The Martyrdom of St. Prophorius (Porphyrius),Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,4,Acts 4:8-18,rid_3ff495927e071a080ce1,tut-18-01,The Martyrdom of St. Prophorius (Porphyrius),Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,5,Acts 5:1-6,rid_8ca93c383e52c34f6f30,holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,Holy Fifty Days,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,5,Acts 5:1-6,rid_8ca93c383e52c34f6f30,thursday-of-the-third-week-of-the-holy-fifty-days,Thursday of the third week of the holy fifty days,Holy Fifty Days,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,5,Acts 5:12-18,rid_2e588dc63d4fb6292a58,babah-12-01,"The Departure of Abba Demetrius I, 12th Pope of Alexandria",Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,5,Acts 5:12-18,rid_2e588dc63d4fb6292a58,babah-12-01,"The Departure of Abba Demetrius I, 12th Pope of Alexandria",Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,5,Acts 5:12-18,rid_2e588dc63d4fb6292a58,bashans-15-01,"The Martyrdom of St. Simon the Zealot, the Apostle who is known by (Simon the Canaanite)",Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,5,Acts 5:12-20,rid_118be5bdb0aa26702e13,holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,Holy Fifty Days,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,5,Acts 5:12-20,rid_118be5bdb0aa26702e13,saturday-of-the-third-week-of-the-holy-fifty-days,Saturday of the third week of the holy fifty days,Holy Fifty Days,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,5,Acts 5:12-21,rid_61f9b02e9ea9caa27698,the-first-sunday-of-abib,The first Sunday of Abib,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,5,Acts 5:12-21,rid_61f9b02e9ea9caa27698,the-first-sunday-of-abib-apostle-s-feast,The first Sunday of Abib (Apostle's Feast),Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,5,Acts 5:12-21,rid_61f9b02e9ea9caa27698,abib-01-01,The Martyrdom of Saint Febronia the Ascetic,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,5,Acts 5:19-23,rid_d5adefbf9f5cdf5844d9,the-second-sunday-of-abib,The second Sunday of Abib,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,5,Acts 5:19-23,rid_d5adefbf9f5cdf5844d9,abib-02-01,"The Departure of St. Thaddaeus, the Apostle",Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,5,Acts 5:19-29,rid_515487f61b9fffc74b3d,the-second-sunday-of-hator,The second Sunday of Hator,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,5,Acts 5:19-29,rid_515487f61b9fffc74b3d,hatur-02-01,The Departure of St. Peter the Third 27th Pope of Alexandria,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,5,Acts 5:21-25,rid_3370c76e0dc157691991,holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,Holy Fifty Days,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,5,Acts 5:21-25,rid_3370c76e0dc157691991,monday-of-the-fourth-week-of-the-holy-fifty-days,Monday of the fourth week of the holy fifty days,Holy Fifty Days,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,5,Acts 5:27-29,rid_9ff64ce020c66602cb63,holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,Holy Fifty Days,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,5,Acts 5:27-29,rid_9ff64ce020c66602cb63,tuesday-of-the-fourth-week-of-the-holy-fifty-days,Tuesday of the fourth week of the holy fifty days,Holy Fifty Days,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,5,Acts 5:27-29,rid_9ff64ce020c66602cb63,tuesday-of-the-sixth-week-of-the-holy-fifty-days,Tuesday of the sixth week of the holy fifty days,Holy Fifty Days,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,5,Acts 5:3-11,rid_95722fe59855cc178f5f,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,Great Lent,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,5,Acts 5:3-11,rid_95722fe59855cc178f5f,wednesday-of-the-second-week-of-great-lent,Wednesday of the second week of Great Lent,Great Lent,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,5,Acts 5:30-33,rid_d639f4ef3661c7bec6b6,holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,Holy Fifty Days,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,5,Acts 5:30-33,rid_d639f4ef3661c7bec6b6,thursday-of-the-fourth-week-of-the-holy-fifty-days,Thursday of the fourth week of the holy fifty days,Holy Fifty Days,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,5,Acts 5:30-42,rid_a8c14b7ce9fb36855618,the-third-sunday-of-hator,The third Sunday of Hator,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,5,Acts 5:30-42,rid_a8c14b7ce9fb36855618,the-third-sunday-of-hator-of-christmas-fast,The third Sunday of Hator of Christmas Fast,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,5,Acts 5:30-42,rid_a8c14b7ce9fb36855618,hatur-03-01,The Departure of St. Cyriacus,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,5,Acts 5:34-36,rid_d963c1dccfad498bbf6d,friday-of-the-fourth-week-of-the-holy-fifty-days,Friday of the fourth week of the holy fifty days,Holy Fifty Days,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,5,Acts 5:34-36,rid_d963c1dccfad498bbf6d,holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,Holy Fifty Days,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,5,Acts 5:34-42,rid_b6226443a3aacf1e115c,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,Great Lent,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,5,Acts 5:34-42,rid_b6226443a3aacf1e115c,mesra-29-01,"The Martyrdom of Sts. Athanasius, the Bishop, Gerasimus (Jarasimus), and Theodotus",Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,5,Acts 5:34-42,rid_b6226443a3aacf1e115c,mesra-29-01,"The Martyrdom of Sts. Athanasius, the Bishop, Gerasimus (Jarasimus), and Theodotus",Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,5,Acts 5:34-42,rid_b6226443a3aacf1e115c,tuesday-of-the-first-week-of-great-lent,Tuesday of the first week of Great Lent,Great Lent,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,5,Acts 5:5-11,rid_77fc43fc0fa2906def46,friday-of-the-third-week-of-the-holy-fifty-days,Friday of the third week of the holy fifty days,Holy Fifty Days,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,5,Acts 5:5-11,rid_77fc43fc0fa2906def46,holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,Holy Fifty Days,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,6,Acts 6:1-15,rid_a4b6e37a52931a1cb056,abib-06-01,"The Martyrdom of St. Aoulimpas, the Apostle",Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,6,Acts 6:1-15,rid_a4b6e37a52931a1cb056,babah-26-01,The Martyrdom of Saint Timon the Apostle,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,6,Acts 6:1-15,rid_a4b6e37a52931a1cb056,baramhat-19-01,"The Martyrdom of St. Aristobulus, the apostle",Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,6,Acts 6:1-15,rid_a4b6e37a52931a1cb056,barmuda-15,Barmuda 15,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,6,Acts 6:1-15,rid_a4b6e37a52931a1cb056,barmuda-29,Barmuda 29,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,6,Acts 6:1-15,rid_a4b6e37a52931a1cb056,bashans-22-01,The Departure of St. Andronicus One of the Seventy Disciples,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,6,Acts 6:1-15,rid_a4b6e37a52931a1cb056,bashans-03-01,"The Departure of St. Jason, one of the Seventy disciples",Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,6,Acts 6:1-15,rid_a4b6e37a52931a1cb056,baunah-01-01,The Consecration of the church of St. Leontius of Tripoli,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,6,Acts 6:1-15,rid_a4b6e37a52931a1cb056,baunah-25-01,"The Martyrdom of St. Jude, one of the Seventy Disciples",Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,6,Acts 6:1-15,rid_a4b6e37a52931a1cb056,tubah-01-01,The Martyrdom of St. Stephen the Archdeacon,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,6,Acts 6:1-15,rid_a4b6e37a52931a1cb056,tubah-20-01,"The Departure of St. Prochorus, One of the Seventy Disciples",Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,6,Acts 6:1-15,rid_a4b6e37a52931a1cb056,tut-15-01,Translocation of the Body of St. Stephen the Archdeacon,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,6,Acts 6:1-15,rid_a4b6e37a52931a1cb056,tut-24-01,The Departure of St. Gregory the Ascetic,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,6,Acts 6:1-7:2,rid_6c8fd9d2e02312ba720a,abib-6,Abib 6,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
