testament,book,chapter,matched_reading_ref,identity_key,occasion_id,occasion_short_label,season,service,hour,slot,status,attesting_edition
New Testament,Acts,27,Acts 27:27-37,rid_d01a4203005fa9969edb,sunday-of-the-sixth-week-of-great-lent,Sunday of the sixth week of Great Lent,Great Lent,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,27,Acts 27:38-28:10,rid_588ea6bca01fd75f8f47,lazarus-saturday-of-great-lent,Lazarus Saturday of Great Lent,Great Lent,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,27,Acts 27:38-44,rid_29e925870813b04ae8ef,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,Great Lent,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,27,Acts 27:42-28:6,rid_71698a0c7fe14c1fad08,abib-20,Abib 20,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,27,Acts 27:42-28:6,rid_71698a0c7fe14c1fad08,amshir-25,Amshir 25,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,27,Acts 27:42-28:6,rid_71698a0c7fe14c1fad08,amshir-28,Amshir 28,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,27,Acts 27:42-28:6,rid_71698a0c7fe14c1fad08,baba-15,Baba 15,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,27,Acts 27:42-28:6,rid_71698a0c7fe14c1fad08,baba-19,Baba 19,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,27,Acts 27:42-28:6,rid_71698a0c7fe14c1fad08,great-lent,Great Lent,Great Lent,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,27,Acts 27:42-28:6,rid_71698a0c7fe14c1fad08,paona-6,Paona 6,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
