study_slug,testament,book,chapter,study_passages,matched_reading_ref,identity_key,occasion_id,occasion_short_label,collection_type,season,service,hour,slot,bridge_basis,confidence,status,attesting_edition,hour_theme,homily_ref,occurrence_count_for_this_passage
2-kings-06-07-spiritual-sight-siege-and-unexpected-deliverance,Old Testament,2 Kings,6,2 Kings 6; 2 Kings 7,2Kgs 7:1-20,rid_5a76a6fabd0f67abe84c,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,amshir-04-01,"The Martyrdom of St. Agabus, One of the Seventy Disciples",,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,collection-type,medium,current_public_or_local_reference,local cache covering 2020 to 2035,the Eucharistic gathering of the Church,,11
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,amshir-04-01,"The Martyrdom of St. Agabus, One of the Seventy Disciples",,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,collection-type,medium,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,babah-22-01,The Martyrdom of Saint Luke the Evangelist,foundational-12-babah-22,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,explicit,high,current_public_or_local_reference,local cache covering 2020 to 2035,the Eucharistic gathering of the Church,,13
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,babah-22-01,The Martyrdom of Saint Luke the Evangelist,foundational-12-babah-22,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,explicit,high,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,bashans-01-01,The Nativity of the Blessed Virgin Mary The Mother of God,foundational-46-bashans-01,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,explicit,high,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,baunah-21-01,The Commemoration of the First Church for The Virgin Mary in the city of Philippi,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,collection-type,medium,current_public_or_local_reference,local cache covering 2020 to 2035,the Eucharistic gathering of the Church,,14
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,baunah-21-01,The Commemoration of the First Church for The Virgin Mary in the city of Philippi,,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,collection-type,medium,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,fast-of-nineveh,Fast of Nineveh,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,missing,,current_public_or_local_reference,local cache covering 2020 to 2035,the Eucharistic gathering of the Church,,1
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,first-sunday-of-christmas-fast,first Sunday of Christmas Fast,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,missing,,current_public_or_local_reference,local cache covering 2020 to 2035,the Eucharistic gathering of the Church,,2
