reason,study_slug,identity_key,matched_reading_ref,occasion_id,occasion_short_label,bridge_basis,confidence,season,service,hour,slot,source_locator
missing or inferred bridge_basis,2-kings-04-elisha-s-miracles-of-life-and-provision,rid_8d90e963746337ff41aa,2Kgs 4:8-37,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5517; source_ref=2Kgs 4:8-37
missing or inferred bridge_basis,2-kings-05-naaman-the-syrian,rid_57d0213fed571fbad0c5,2Kgs 5:1-27,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5494; source_ref=2Kgs 5:1-27
missing or inferred bridge_basis,2-kings-06-07-spiritual-sight-siege-and-unexpected-deliverance,rid_1e89752f953863e579ac,2Kgs 6:8-33,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5617; source_ref=2Kgs 6:8-33
missing or inferred bridge_basis,2-kings-06-07-spiritual-sight-siege-and-unexpected-deliverance,rid_5a76a6fabd0f67abe84c,2Kgs 7:1-20,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5618; source_ref=2Kgs 7:1-20
no 69 collection_type match,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,amshir-04-01,"The Martyrdom of St. Agabus, One of the Seventy Disciples",collection-type,medium,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
no 69 collection_type match,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,amshir-04-01,"The Martyrdom of St. Agabus, One of the Seventy Disciples",collection-type,medium,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
no source for link,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,bashans-01-01,The Nativity of the Blessed Virgin Mary The Mother of God,explicit,high,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
no 69 collection_type match,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,baunah-21-01,The Commemoration of the First Church for The Virgin Mary in the city of Philippi,collection-type,medium,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
no 69 collection_type match,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,baunah-21-01,The Commemoration of the First Church for The Virgin Mary in the city of Philippi,collection-type,medium,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
missing or inferred bridge_basis,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,fast-of-nineveh,Fast of Nineveh,missing,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
