reason,study_slug,identity_key,matched_reading_ref,occasion_id,occasion_short_label,bridge_basis,confidence,season,service,hour,slot,source_locator
no source for link,psalm-108-lxx-107-o-god-my-heart-is-ready,rid_4fc32b9f114c5f1160fd,Ps 108:1-2 (LXX Ps 107:1-2),great-thursday-eve,Great Thursday Eve,missing,,Pascha / Holy Week,Third Hour,Third Hour,Psalm,"out/data/pascha_day_hour_index.csv:row 116; source_ref=Ps 108:1,2; Matt 26:30-35; Mark 14:26-31; Luke 22:31-39; John 18:1,2"
missing or inferred bridge_basis,psalm-108-lxx-107-o-god-my-heart-is-ready,rid_aa7e92a64ae301cdac77,Ps 108:3 (LXX Ps 107:3),saturday-of-the-seventh-week-of-the-holy-fifty-days,Saturday of the seventh week of the holy fifty days,missing,,Holy Fifty Days,Liturgy,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=06&g_day=03; cache/copticchurch_html:row 12571; source_ref=Ps 108:3
missing or inferred bridge_basis,psalm-108-lxx-107-o-god-my-heart-is-ready,rid_cb76261261997da0536c,Ps 108:4 (LXX Ps 107:4),saturday-of-the-seventh-week-of-the-holy-fifty-days,Saturday of the seventh week of the holy fifty days,missing,,Holy Fifty Days,Liturgy,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=06&g_day=03; cache/copticchurch_html:row 12572; source_ref=Ps 108:4
missing or inferred bridge_basis,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_3cd19c837969972cfdaf,Ps 110:1-2 (LXX Ps 109:1-2),holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,missing,,Holy Fifty Days,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 6106; source_ref=Ps 110:1-2
no source for link,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_3cd19c837969972cfdaf,Ps 110:1-2 (LXX Ps 109:1-2),holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,missing,,Holy Fifty Days,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 6106; source_ref=Ps 110:1-2
missing or inferred bridge_basis,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_4251329fbd6191820286,Ps 110:2 (LXX Ps 109:2),friday-of-the-sixth-week-of-the-holy-fifty-days,Friday of the sixth week of the holy fifty days,missing,,Holy Fifty Days,Matins,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=05&g_day=26; cache/copticchurch_html:row 12492; source_ref=Ps 110:2
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_4443600214caa17fcaee,Ps 110:4-6 (LXX Ps 109:4-6),amshir-14-01,"The Departure of St. Severus, Patriarch of Antioch",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2054; source_ref=Ps 110:4-6
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_4443600214caa17fcaee,Ps 110:4-6 (LXX Ps 109:4-6),amshir-18-01,"The Departure of St. Malatius the Confessor, Patriarch of Antioch",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2054; source_ref=Ps 110:4-6
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_4443600214caa17fcaee,Ps 110:4-6 (LXX Ps 109:4-6),amshir-27-01,"The Departure of St. Eustathius, Patriarch of Antioch",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2054; source_ref=Ps 110:4-6
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_4443600214caa17fcaee,Ps 110:4-6 (LXX Ps 109:4-6),babah-03-01,"The Departure of St. Simon II, 51st Pope of the See of St. Mark",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2054; source_ref=Ps 110:4-6
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_4443600214caa17fcaee,Ps 110:4-6 (LXX Ps 109:4-6),babah-05-01,"The Martyrdom of St. Paul, Patriarch of Constantinople",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2054; source_ref=Ps 110:4-6
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_4443600214caa17fcaee,Ps 110:4-6 (LXX Ps 109:4-6),babah-09-01,"The Departure of St. Eumenius, the Seventh Pope of the See of St. Mark",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2054; source_ref=Ps 110:4-6
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_4443600214caa17fcaee,Ps 110:4-6 (LXX Ps 109:4-6),bashans-12-01,The Commemoration of the Consecration of the church of St. Demiana,collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2054; source_ref=Ps 110:4-6
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_4443600214caa17fcaee,Ps 110:4-6 (LXX Ps 109:4-6),bashans-28-01,The commemoration of the Relocation of the Body of St. Epiphanius,collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2054; source_ref=Ps 110:4-6
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_4443600214caa17fcaee,Ps 110:4-6 (LXX Ps 109:4-6),hatur-06-01,"The Departure of St. Felix, Pope of Rome",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2054; source_ref=Ps 110:4-6
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_4443600214caa17fcaee,Ps 110:4-6 (LXX Ps 109:4-6),hatur-21-01,"The Commemoration of the Virgin St. Mary, the Theotokos",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2054; source_ref=Ps 110:4-6
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_4443600214caa17fcaee,Ps 110:4-6 (LXX Ps 109:4-6),kiyahk-01-01,"The Departure of St. Peter Elrahawy, Bishop of Gaza",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2054; source_ref=Ps 110:4-6
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_4443600214caa17fcaee,Ps 110:4-6 (LXX Ps 109:4-6),kiyahk-15-01,"The Departure of St. Gregory, Patriarch of the Armenians",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2054; source_ref=Ps 110:4-6
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_4443600214caa17fcaee,Ps 110:4-6 (LXX Ps 109:4-6),mesra-14-01,"The Commemoration of the Great Sign, the Lord had Manifested During the Papacy of St. Theophilus",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2054; source_ref=Ps 110:4-6
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_4443600214caa17fcaee,Ps 110:4-6 (LXX Ps 109:4-6),tubah-07-01,"The Departure of St. Silvester, Pope of Rome",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2054; source_ref=Ps 110:4-6
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_4443600214caa17fcaee,Ps 110:4-6 (LXX Ps 109:4-6),tut-13-01,"The Departure of Pope Mattheos II, 90th Patriarch of the See of St. Mark",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2054; source_ref=Ps 110:4-6
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_4443600214caa17fcaee,Ps 110:4-6 (LXX Ps 109:4-6),tut-30-01,The Commemoration of the Miracle that God Performed for St. Athanasius the Apostolic,collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2054; source_ref=Ps 110:4-6
missing or inferred bridge_basis,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_53b1bdf8c82ac06a6238,Ps 110:3 (LXX Ps 109:3),christmas-paramoune,Christmas Paramoune,missing,,Annual / fixed or ordinary cycle,Liturgy,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=01&g_day=06; cache/copticchurch_html:row 11198; source_ref=Ps 110:3
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_53b1bdf8c82ac06a6238,Ps 110:3 (LXX Ps 109:3),christmas-paramoune,Christmas Paramoune,missing,,Annual / fixed or ordinary cycle,Liturgy,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=01&g_day=06; cache/copticchurch_html:row 11198; source_ref=Ps 110:3
missing or inferred bridge_basis,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c4db2659400e729b7cc3,Ps 110 (LXX Ps 109),daily-hours,daily_hours,missing,,Agpeya,Ninth Hour (None),Ninth Hour (None),psalm,https://www.saintbishoy.ca/wp-content/uploads/Rites_Agpeya_Book.pdf; build_agpeya_reference.py curated rows:row 53; source_ref=Ps 110
missing or inferred bridge_basis,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c4db2659400e729b7cc3,Ps 110 (LXX Ps 109),optional-prayers,optional_prayers,missing,,Agpeya,Veil Prayer,Veil Prayer,psalm,https://www.saintbishoy.ca/wp-content/uploads/Rites_Agpeya_Book.pdf; build_agpeya_reference.py curated rows:row 53; source_ref=Ps 110
missing or inferred bridge_basis,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c5b7fec13aec781cd771,Ps 110:1 (LXX Ps 109:1),friday-of-the-sixth-week-of-the-holy-fifty-days,Friday of the sixth week of the holy fifty days,missing,,Holy Fifty Days,Matins,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=05&g_day=26; cache/copticchurch_html:row 12491; source_ref=Ps 110:1
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),amshir-07-01,"The Departure of St. Alexandros II, 43rd Pope of Alexandria",collection-type,medium,Annual / fixed or ordinary cycle,vespers_psalm,,vespers_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),amshir-11-01,"The Martyrdom of St. Fabianus (Fabrianus), Pope of Rome",collection-type,medium,Annual / fixed or ordinary cycle,Liturgy,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),amshir-11-01,"The Martyrdom of St. Fabianus (Fabrianus), Pope of Rome",collection-type,medium,Annual / fixed or ordinary cycle,liturgy_psalm,,liturgy_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
missing or inferred bridge_basis,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),amshir-14,Amshir 14,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),amshir-14,Amshir 14,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),amshir-20-01,"The Departure of St. Peter, 21st Pope of Alexandria",collection-type,medium,Annual / fixed or ordinary cycle,Liturgy,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),amshir-20-01,"The Departure of St. Peter, 21st Pope of Alexandria",collection-type,medium,Annual / fixed or ordinary cycle,liturgy_psalm,,liturgy_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
missing or inferred bridge_basis,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),amshir-27,Amshir 27,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),amshir-27,Amshir 27,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
missing or inferred bridge_basis,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),baba-3,Baba 3,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),baba-3,Baba 3,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
missing or inferred bridge_basis,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),baba-5,Baba 5,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),baba-5,Baba 5,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
missing or inferred bridge_basis,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),baba-9,Baba 9,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),baba-9,Baba 9,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),babah-02-01,"The Coming of Saint Severus, Patriarch of Antioch, to Egypt",collection-type,medium,Annual / fixed or ordinary cycle,vespers_psalm,,vespers_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),babah-11-01,"The Departure of St. James, Patriarch of Antioch",collection-type,medium,Annual / fixed or ordinary cycle,vespers_psalm,,vespers_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),babah-16-01,"The Departure of St. Agathon, 39th Pope of Alexandria",collection-type,medium,Annual / fixed or ordinary cycle,Liturgy,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),babah-16-01,"The Departure of St. Agathon, 39th Pope of Alexandria",collection-type,medium,Annual / fixed or ordinary cycle,liturgy_psalm,,liturgy_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),babah-17-01,The Departure of St. Dioscorus II 31st Pope of Alexandria,collection-type,medium,Annual / fixed or ordinary cycle,vespers_psalm,,vespers_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),babah-18-01,The Departure of the Honorable Father Saint Theophilus 23rd Pope of Alexandria,collection-type,medium,Annual / fixed or ordinary cycle,Liturgy,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),babah-18-01,The Departure of the Honorable Father Saint Theophilus 23rd Pope of Alexandria,collection-type,medium,Annual / fixed or ordinary cycle,liturgy_psalm,,liturgy_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),baramhat-03-01,"The Departure of St. Cosmas, the Fifty-Eighth Pope of Alexandria",collection-type,medium,Annual / fixed or ordinary cycle,liturgy_psalm,,liturgy_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),baramhat-12-01,The Commemoration of the Honorable Angel Michael,collection-type,medium,Annual / fixed or ordinary cycle,liturgy_psalm,,liturgy_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),baramhat-16-01,The Departure Of The Saint Anba Khail (Mikhail) the Forty Sixth Pope Of The See Of St. Mark,collection-type,medium,Annual / fixed or ordinary cycle,liturgy_psalm,,liturgy_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),baramhat-20-01,The Departure Of the St. Anba Khail (Mikhail) the Fifty Six Pope of the See of St. Mark,collection-type,medium,Annual / fixed or ordinary cycle,liturgy_psalm,,liturgy_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),baramhat-22-01,"The Departure of St. Kyrellos (Cyril), Bishop of Jerusalem",collection-type,medium,Annual / fixed or ordinary cycle,vespers_psalm,,vespers_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),baramhat-24-01,The Apparition of the Pure Lady the Virgin in the church of Zeiton,collection-type,medium,Annual / fixed or ordinary cycle,liturgy_psalm,,liturgy_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
missing or inferred bridge_basis,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),barmuda-12,Barmuda 12,missing,,Annual / fixed or ordinary cycle,vespers_psalm,,vespers_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),barmuda-12,Barmuda 12,missing,,Annual / fixed or ordinary cycle,vespers_psalm,,vespers_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
missing or inferred bridge_basis,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),barmuda-14,Barmuda 14,missing,,Annual / fixed or ordinary cycle,liturgy_psalm,,liturgy_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),barmuda-14,Barmuda 14,missing,,Annual / fixed or ordinary cycle,liturgy_psalm,,liturgy_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
missing or inferred bridge_basis,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),barmuda-22,Barmuda 22,missing,,Annual / fixed or ordinary cycle,liturgy_psalm,,liturgy_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),barmuda-22,Barmuda 22,missing,,Annual / fixed or ordinary cycle,liturgy_psalm,,liturgy_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
missing or inferred bridge_basis,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),barmuda-3,Barmuda 3,missing,,Annual / fixed or ordinary cycle,vespers_psalm,,vespers_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),barmuda-3,Barmuda 3,missing,,Annual / fixed or ordinary cycle,vespers_psalm,,vespers_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),bashans-04-01,"The Departure of Pope John (Youhanna) the First, the Twenty Ninth Patriarch of the See of St. Mark",collection-type,medium,Annual / fixed or ordinary cycle,liturgy_psalm,,liturgy_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),bashans-07-01,The Departure of St. Athanasius the Apostolic the 20th. Pope of Alexandria,collection-type,medium,Annual / fixed or ordinary cycle,vespers_psalm,,vespers_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),bashans-30-01,"The Departure of Pope Mikhail the First, the 68th. Patriarch of Alexandria",collection-type,medium,Annual / fixed or ordinary cycle,vespers_psalm,,vespers_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
missing or inferred bridge_basis,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),bashons-28,Bashons 28,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),bashons-28,Bashons 28,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),baunah-18-01,The Inauguration of the New St. Mark Cathedral in the Monastery of Anba Rowais,collection-type,medium,Annual / fixed or ordinary cycle,Liturgy,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),baunah-18-01,The Inauguration of the New St. Mark Cathedral in the Monastery of Anba Rowais,collection-type,medium,Annual / fixed or ordinary cycle,liturgy_psalm,,liturgy_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),baunah-28-01,"The Departure of St. Theodosius, 33rd Pope of Alexandria",collection-type,medium,Annual / fixed or ordinary cycle,vespers_psalm,,vespers_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
missing or inferred bridge_basis,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),fast-of-nineveh,Fast of Nineveh,missing,,Annual / fixed or ordinary cycle,Liturgy,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),fast-of-nineveh,Fast of Nineveh,missing,,Annual / fixed or ordinary cycle,Liturgy,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
missing or inferred bridge_basis,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),hator-17,Hator 17,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
no 69 collection_type match,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),hator-17,Hator 17,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
missing or inferred bridge_basis,psalm-110-lxx-109-the-lord-said-to-my-lord,rid_c9ff9a72883959072149,Ps 110:4 (LXX Ps 109:4),hator-2,Hator 2,missing,,Annual / fixed or ordinary cycle,Liturgy,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 3772; source_ref=Ps 110:4
