
## abib21_2026_katameros.json title=None copticDate=21/11/1742
Ninth Hour Eve of Pascha Friday | Psalm & Gospel | reading 5 | title='' | refs=Lk 22:47-55
Ninth Hour Eve of Pascha Friday | Psalm & Gospel | reading 6 | title='' | refs=Jn 18:10-14
Eleventh hour Eve of Pascha Friday | subsection 1 | reading 1 | title='' | refs=Isa 27:11-28:15
Eleventh hour Eve of Pascha Friday | Psalm & Gospel | reading 1 | title='' | refs=Ps 2:1-5
Eleventh hour Eve of Pascha Friday | Psalm & Gospel | reading 2 | title='' | refs=Matt 26:59-75
Eleventh hour Eve of Pascha Friday | Psalm & Gospel | reading 3 | title='' | refs=Mark 14:55-72
Eleventh hour Eve of Pascha Friday | Psalm & Gospel | reading 4 | title='' | refs=Lk 22:56-65
Eleventh hour Eve of Pascha Friday | Psalm & Gospel | reading 5 | title='' | refs=Jn 18:15-27

## mesra23_2026_katameros.json title=None copticDate=23/12/1742
Vespers | Psalm & Gospel | reading 1 | title='' | refs=Ps 34:17-18
Vespers | Psalm & Gospel | reading 2 | title='' | refs=Matt 10:16-22
Matins | Psalm & Gospel | reading 1 | title='' | refs=Ps 34:19-20
Matins | Psalm & Gospel | reading 2 | title='' | refs=Mark 8:34-38 ; Mark 9:1
Liturgy | Pauline Epistle | reading 1 | title='' | refs=Rom 8:28-39
Liturgy | Catholic Epistle | reading 1 | title='' | refs=1Pet 4:1-11
Liturgy | Acts of the Apostles | reading 1 | title='' | refs=Acts 16:16-34
Liturgy | Psalm & Gospel | reading 1 | title='' | refs=Ps 97:11-12
Liturgy | Psalm & Gospel | reading 2 | title='' | refs=Lk 21:12-19

## mesra25_2026_katameros.json title=None copticDate=25/12/1742
Vespers | Psalm & Gospel | reading 1 | title='' | refs=Ps 42:1
Vespers | Psalm & Gospel | reading 2 | title='' | refs=Matt 25:14-23
Matins | Psalm & Gospel | reading 1 | title='' | refs=Ps 34:5,7
Matins | Psalm & Gospel | reading 2 | title='' | refs=Lk 19:11-19
Liturgy | Pauline Epistle | reading 1 | title='' | refs=Phil 3:20-21 ; Phil 4:1-9
Liturgy | Catholic Epistle | reading 1 | title='' | refs=James 5:9-12
Liturgy | Acts of the Apostles | reading 1 | title='' | refs=Acts 18:24-28 ; Acts 19:1-6
Liturgy | Psalm & Gospel | reading 1 | title='' | refs=Ps 104:1,2,4
Liturgy | Psalm & Gospel | reading 2 | title='' | refs=Lk 12:32-44

## mesra27_2026_katameros.json title=None copticDate=27/12/1742
